id,product_name_full,context_name,service_name,emds1,emds2,emds3,emds4,emds5,emds6,emds7,emds8,emds9,emds10,emds11,emds12,emds13,emds14,emds15,emds16,emds17,emds18,emds19,emds20,emds21,emds22,emds23,emds24,emds25,emds26,emds27,emds28,emds29,emds30,emds31,emds32,emds33,emds34,emds35,emds36,emds37,emds38,emds39,emds40,emds41,emds42,emds43,emds44,emds45,emds46,emds47,emds48,emds49,emds50,emds51,emds52,emds53,emds54,emds55,emds56,emds57,emds58,emds59,emds60,emds61,emds62,emds63,emds64
78,Shimano XT CS-M771-10 10-speed Cassette,null,null,-0.164582,0.33404,-0.075509,-0.261058,0.019563,-0.219358,0.101284,0.017522,-0.170027,0.215189,-0.105057,-0.059139,0.067827,-0.054906,-0.135689,0.089511,-0.233073,0.292893,0.202583,-0.216945,-0.083858,-0.256088,0.130625,-0.116968,-0.18796,0.442985,-0.092654,0.177758,0.04713,0.036688,-0.202361,-0.160897,-0.003856,0.118659,-0.234666,-0.091085,0.031943,0.070997,0.198621,0.032306,-0.331693,-0.028089,-0.19051,-0.082927,0.105993,-0.169659,-0.055477,0.068313,-0.094643,-0.288043,0.126725,0.328283,0.150164,-0.145568,-0.080713,-0.031762,0.018771,-0.036731,0.277982,-0.338878,-0.132614,-0.166503,-0.088448,-0.346754
80,SRAM XG-1275 12-speed Cassette for GX Eagle - 2018 Model,null,null,0.033725,0.371529,0.093057,-0.356187,-0.103644,-0.159649,0.067632,0.114821,-0.183236,0.240865,-0.113176,0.121448,0.069234,-0.16717,-0.126398,0.170253,-0.113246,0.370135,0.212302,-0.162868,-0.171068,-0.158191,0.203641,-0.19013,-0.25094,0.262719,-0.248408,0.096842,0.032782,-0.012889,-0.0974,-0.211874,0.171921,-0.01388,-0.245418,0.06864,0.082076,0.099367,0.255467,-0.039339,-0.459685,-0.076324,-0.037723,-0.185324,0.077385,-0.16452,-0.031971,0.249664,-0.189916,-0.339683,0.028977,0.235235,0.074974,-0.268629,-0.018597,0.03152,0.188529,0.109798,0.056207,-0.128667,-0.099073,-0.107139,-0.083091,-0.329522
82,Shimano 105 CS-R7000 11-speed Cassette,null,null,-0.066893,-0.059764,-0.131837,0.175015,-0.055555,0.091565,0.200668,-0.252128,-0.177343,-0.451479,-0.015069,0.162232,0.052228,0.158066,0.132723,0.313077,-0.089992,-0.200177,0.402487,0.309157,-0.401463,0.043825,0.128763,0.765404,0.119723,0.405019,0.297306,-0.061471,-0.461705,-0.26417,0.048031,0.160559,0.124139,-0.057345,0.513071,0.208578,0.021697,0.203738,-0.044614,0.220676,-0.360276,-0.105955,0.286218,-0.120879,-0.357236,-0.157387,0.134034,0.370594,0.017071,-0.2019,0.411048,0.392107,-0.118192,0.161297,-0.251166,0.336193,0.35918,-0.130789,0.406354,-0.252615,-0.362102,-0.001886,0.32046,-0.787519
98,SRAM PG-1170 11-speed Cassette,null,null,-0.105874,-0.090328,-0.049408,0.102769,0.005586,0.055479,0.10562,-0.220408,-0.239732,-0.341421,-0.302211,0.142471,-0.193794,0.211332,0.209352,0.373021,-0.079176,-0.031016,0.505574,0.283503,-0.384317,-0.056141,-0.002948,0.656554,0.183903,0.613965,0.410968,0.092233,-0.753098,-0.313375,-0.060154,0.199306,0.177463,0.014154,0.708153,0.086064,-0.045501,0.130696,0.093777,0.230775,-0.448728,-0.069833,0.233647,0.077057,-0.403131,-0.184034,0.282013,0.209878,0.177671,-0.289774,0.050746,0.520857,-0.036426,0.330191,-0.209912,0.217362,0.278454,-0.140911,0.410721,-0.183498,-0.314697,-0.117262,0.457727,-0.749914
102,Shimano 105 CS-5700 10-speed Cassette,null,null,-0.235774,0.269668,-0.088708,-0.27148,0.148571,-0.148136,-0.015868,-0.025012,-0.121554,0.38406,0.125002,0.13096,0.125901,0.066369,-0.065868,0.166819,-0.100591,0.224462,0.250836,-0.026936,-0.176403,-0.208177,0.209397,-0.062398,-0.224088,0.342518,-0.081076,0.174901,0.055952,0.020088,-0.151788,-0.208498,-0.009277,0.106056,-0.286303,0.060215,-0.006418,0.095158,0.165938,-0.044305,-0.354641,0.042816,0.03614,-0.024485,0.202656,-0.07738,-0.131382,0.082815,-0.058219,-0.225622,0.1829,0.296706,0.18814,-0.05331,-0.055583,-0.096041,0.038307,-0.153668,0.227782,-0.462892,-0.033139,-0.102511,-0.221249,-0.371859
104,Shimano CS-HG51-8 8-speed Cassette,null,null,-0.086941,-0.071655,-0.168074,0.025566,0.062956,0.058608,0.091065,-0.250784,-0.260249,-0.514557,0.007876,0.205293,-0.074902,0.191017,0.273137,0.192751,-0.055407,-0.187489,0.471047,0.331261,-0.371762,0.039278,0.08165,0.58781,0.214041,0.379133,0.265797,0.087432,-0.50864,-0.532319,-0.009603,0.149808,0.083756,0.003992,0.512647,0.236989,-0.000527,0.184284,-0.053912,0.250612,-0.438822,-0.036948,0.474345,-0.010237,-0.342597,0.000492,0.136749,0.313839,-0.222683,-0.187442,0.365494,0.538715,-0.135759,0.304616,-0.241622,0.160825,0.255075,-0.29417,0.582178,-0.184989,-0.341939,0.065587,0.193338,-0.746094
115,Campagnolo Chorus 11-speed Cassette,null,null,-0.146502,-0.074094,-0.060356,-0.082994,-0.254138,0.15264,-0.365406,0.034393,0.115549,-0.29758,0.050032,0.256425,-0.008782,-0.018149,-0.230958,-0.307472,0.204563,0.201958,-0.076059,-0.175887,-0.092292,-0.020278,0.498804,-0.138493,-0.021876,0.67793,0.134562,-0.113945,-0.316582,0.270808,-0.168662,-0.020378,0.08342,0.064643,0.289167,-0.133849,-0.300942,-0.0555,-0.314327,-0.067651,-0.211337,0.255995,0.267931,-0.260553,0.013601,-0.392441,0.261394,0.309756,-0.080617,-0.267294,0.135158,0.359048,0.25718,-0.228167,-0.067189,-0.12488,-0.163959,0.064955,-0.202954,0.297142,0.171922,-0.201413,0.034598,0.137439
116,Shimano XT CS-M760 / CS-M770 9-speed Sprocket,null,null,-0.098919,0.364076,-0.152736,-0.270724,0.075815,-0.234412,0.184462,-0.082261,-0.358535,0.189767,-0.024359,-0.09138,0.105213,-0.011673,-0.151727,0.04977,-0.155033,0.30379,0.018834,-0.018225,-0.106486,-0.192456,0.172395,-0.328176,-0.240144,0.375571,-0.027886,0.180393,0.252213,-0.108434,-0.301306,-0.174806,-0.042219,0.028976,-0.180697,0.037409,0.192496,0.014108,0.218159,0.06132,-0.391902,0.052387,-0.093458,-0.116478,0.138426,-0.09863,0.037968,-0.031445,-0.222352,-0.311128,0.292184,0.345707,0.019791,-0.124235,-0.044513,0.006815,0.032165,-0.04618,0.17735,-0.10481,-0.248106,-0.094202,0.017683,-0.349024
118,Shimano Claris CS-HG50-8 8-speed Cassette,null,null,0.231401,-0.341226,0.103614,0.206952,-0.522792,0.416535,0.026831,-0.141447,0.387618,-0.306827,-0.059321,0.42329,0.903828,0.427868,0.616167,-0.445828,0.010763,-0.316059,0.304204,-0.221541,0.284649,-0.713618,0.383368,0.251794,-0.471068,0.068149,-0.362296,-0.329022,0.38993,-0.282597,-0.330935,-0.055077,-0.008263,-0.152009,0.198626,0.165393,0.504491,0.140769,0.165612,0.460308,-0.248617,-0.641666,0.46659,-0.113946,-0.218154,-0.17445,-0.279418,0.943376,0.102047,-0.572622,0.75002,0.60627,-0.233556,-0.566368,-0.575164,-0.256781,0.21062,0.437489,0.150201,-0.349573,0.112166,0.439649,-0.283934,-0.798434
119,Shimano Sprocket for XT CS-M771 10-speed,null,null,-0.334072,-0.102448,-0.030501,0.075977,0.040699,0.06178,0.161612,-0.388752,-0.230252,-0.45416,-0.086928,0.016422,-0.094688,0.245199,0.261319,0.420171,0.01062,-0.208338,0.345684,0.094448,-0.220178,-0.047954,-0.131549,0.492741,0.280899,0.490253,0.464007,0.212606,-0.592568,-0.152035,-0.02408,0.122731,0.268473,-0.094455,0.536384,0.263845,0.066816,0.250098,-0.06362,0.199474,-0.409863,0.092008,0.273467,0.093965,-0.327236,-0.122882,0.30391,0.324078,0.085849,-0.095522,0.484196,0.535851,-0.023474,0.316343,-0.236449,0.15587,0.204164,-0.10737,0.49567,-0.147787,-0.369189,0.031505,0.398504,-0.588999
