id,name
78,Shimano XT CS-M771-10 10-speed Cassette
80,SRAM XG-1275 12-speed Cassette for GX Eagle - 2018 Model
82,Shimano 105 CS-R7000 11-speed Cassette
98,SRAM PG-1170 11-speed Cassette
102,Shimano 105 CS-5700 10-speed Cassette
104,Shimano CS-HG51-8 8-speed Cassette
115,Campagnolo Chorus 11-speed Cassette
116,Shimano XT CS-M760 / CS-M770 9-speed Sprocket
118,Shimano Claris CS-HG50-8 8-speed Cassette
119,Shimano Sprocket for XT CS-M771 10-speed
120,SunRace CSMX3 10-speed Cassette
123,SRAM XG-1080 10-speed Cassette
125,Shimano Ultegra CS-6800 11-speed Cassette
139,Shimano XTR CS-M9000 11-speed Cassette - Closeout
148,Shimano XTR CS-M980 10-speed Cassette
152,Hope 11-speed Cassette + Hope Pro 4 Freehub Body
214,Shimano CN-HG701-11 11-speed Ultegra / XT / E-Bike Quick-Link Chain
216,Shimano CN-HG93 9-speed Chain
217,Shimano CN-HG701 Ultegra / XT / E-Bike 11-speed Chain
222,SRAM PC X1 11-Speed Chain
234,SRAM PC 971 9-speed Chain
240,SRAM PC Red 22 11-speed Chain
241,Shimano CN-E6090-10 STEPS 10-speed Chain for E-Bikes
243,SRAM PC 951 9-speed Chain
251,SRAM PC 1091 10-speed Chain
258,SRAM PC 1031 10-speed Chain
265,Shimano CN-6600 10-speed Ultegra / Dura Ace / 105 Chain
327,Shimano XT CS-M8000 11-speed Cassette + CN-HG701 11-speed Chain Set
330,Shimano XT CS-M770 Cassette + CN-HG93 9-speed Chain Set
331,SRAM GX Eagle 12-speed XG-1275 Cassette + PC GX Eagle Chain Set
338,Shimano SLX CS-HG81-10 Cassette + CN-HG95 10-speed Chain Set
341,Shimano 105 CS-5700 Cassette + CN-6701 10-speed Chain Set
343,SRAM 9-speed PG-970 Cassette + PG-971 Chain Set
370,Shimano PD-T8000 XT Clipless/Platform Pedals
372,Shimano PD-GR500 Platform Pedals
373,Shimano PD-M520 Clipless Pedals
376,Shimano PD-M8000 XT Clipless Pedals
377,XLC PD-M10 Platform Pedals
385,Shimano PD-M8040 XT Platform Pedals
386,Shimano Cage/Clipless PD-M324 Pedals
389,Shimano PD-M9000 XTR Race Clipless Pedals
394,Shimano Clipless PD-M530 Pedals
396,crankbrothers Mallet E Clipless/Platform Pedals
399,Shimano PD-M820 Saint Clipless Pedals
402,SIXPACK-RACING Menace Plattformpedale Modell 2018
