product_name_full,product_link,price,thumbnail,categories
Topeak BackLoader Saddle Bag,https://www.bike-components.de/en/Topeak/BackLoader-Saddle-Bag-p64399/,from 41.97€,https://static.bike-components.de/cache/p/s1/6/4/Topeak-BackLoader-Saddle-Bag-64399-0-1523021392.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Classic Rear Panniers - bc Edition,https://www.bike-components.de/en/Ortlieb/Back-Roller-Classic-Rear-Panniers-bc-Edition-p40835/,83.99 €,https://static.bike-components.de/cache/p/s1/4/0/Ortlieb-Back-Roller-Classic-Rear-Panniers-bc-Edition-40835-0-1504097131.jpeg,"Backpacks, Bags & Panniers"
Racktime Odin Trunk Bag,https://www.bike-components.de/en/Racktime/Odin-Trunk-Bag-p61186/,50.41 €,https://static.bike-components.de/cache/p/s1/6/1/Racktime-Odin-Trunk-Bag-61186-0-1519040183.jpeg,"Backpacks, Bags & Panniers"
Brooks Pickwick Backpack 26LT - 2017 Model,https://www.bike-components.de/en/Brooks/Pickwick-Backpack-26LT-2017-Model-p54585/,142.02 €,https://static.bike-components.de/cache/p/s1/5/4/Brooks-Pickwick-Backpack-26LT-2017-Model-54585-0-1481525460.jpeg,"Backpacks, Bags & Panniers"
Topeak FrontLoader Handlebar Bag,https://www.bike-components.de/en/Topeak/FrontLoader-Handlebar-Bag-p54700/,50.38 €,https://static.bike-components.de/cache/p/s1/5/4/Topeak-FrontLoader-Handlebar-Bag-54700-0-1525269479.jpeg,"Backpacks, Bags & Panniers"
Topeak MidLoader Frame Bag - 2019 Model,https://www.bike-components.de/en/Topeak/MidLoader-Frame-Bag-2019-Model-p67759/,from 28.56€,https://static.bike-components.de/cache/p/s1/6/7/Topeak-MidLoader-Frame-Bag-2019-Model-67759-0-1539614966.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Atrack BP 25L Backpack,https://www.bike-components.de/en/Ortlieb/Atrack-BP-25L-Backpack-p70554/,150.42 €,https://static.bike-components.de/cache/p/s1/7/0/Ortlieb-Atrack-BP-25L-Backpack-70554-0-1557324728.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Back-Roller Classic Rear Panniers,https://www.bike-components.de/en/Ortlieb/Back-Roller-Classic-Rear-Panniers-p40775/,105.04 €,https://static.bike-components.de/cache/p/s1/4/0/Ortlieb-Back-Roller-Classic-Rear-Panniers-40775-0-1481263645.jpeg,"Backpacks, Bags & Panniers"
Backcountry Research Mütherload Strap,https://www.bike-components.de/en/Backcountry-Research/Muetherload-Strap-p61361/,16.80 €,https://static.bike-components.de/cache/p/s1/6/1/Backcountry-Research-Muetherload-Strap-61361-0-1525688848.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Seat-Pack L Saddle Bag,https://www.bike-components.de/en/Ortlieb/Seat-Pack-L-Saddle-Bag-p65114/,116.81 €,https://static.bike-components.de/cache/p/s1/6/5/Ortlieb-Seat-Pack-L-Saddle-Bag-65114-0-1531308913.jpeg,"Backpacks, Bags & Panniers"
evoc FR Enduro Blackline Protektor Rucksack,https://www.bike-components.de/en/evoc/FR-Enduro-Blackline-Protektor-Rucksack-p37599/,151.26 €,https://static.bike-components.de/cache/p/s1/3/7/evoc-FR-Enduro-Blackline-Protektor-Rucksack-37599-0-1481256565.jpeg,"Backpacks, Bags & Panniers"
Backcountry Research Mütherload Strap Befestigungsband - bc Edition,https://www.bike-components.de/en/Backcountry-Research/Muetherload-Strap-Befestigungsband-bc-Edition-p66319/,16.80 €,https://static.bike-components.de/cache/p/s1/6/6/Backcountry-Research-Muetherload-Strap-Befestigungsband-bc-Edition-66319-0-1532082965.jpeg,"Backpacks, Bags & Panniers"
Ortlieb Front-Roller City Front / Rear Panniers,https://www.bike-components.de/en/Ortlieb/Front-Roller-City-Front-Rear-Panniers-p26164/,67.18 €,https://static.bike-components.de/cache/p/s1/2/6/Ortlieb-Front-Roller-City-Front-Rear-Panniers-26164-0-1481265674.jpeg,"Backpacks, Bags & Panniers"
