product name full,product link,price,review-count,thumbnail,categories,subcategories
Shimano CS-R8000 11-speed Ultegra Cassette,https://www.bike-components.de/en/Shimano/CS-R8000-11-speed-Ultegra-Cassette-p58015/,from 45.80€,1,https://static.bike-components.de/cache/p/s1/5/8/Shimano-CS-R8000-11-speed-Ultegra-Cassette-58015-0-1534321803.jpeg,Drivetrain,Cassettes
Shimano XT CS-M8000 11-speed Cassette,https://www.bike-components.de/en/Shimano/XT-CS-M8000-11-speed-Cassette-p43966/,from 57.13€,21,https://static.bike-components.de/cache/p/s1/4/3/Shimano-XT-CS-M8000-11-speed-Cassette-43966-0-1481258124.jpeg,Drivetrain,Cassettes
Shimano XT CS-M771-10 10-speed Cassette,https://www.bike-components.de/en/Shimano/XT-CS-M771-10-10-speed-Cassette-p24985/,from 39.49€,44,https://static.bike-components.de/cache/p/s1/2/4/Shimano-XT-CS-M771-10-10-speed-Cassette-24985-0-1481261795.jpeg,Drivetrain,Cassettes
Shimano CS-HG500-10 10-speed Cassette,https://www.bike-components.de/en/Shimano/CS-HG500-10-10-speed-Cassette-p43864/,from 16.80€,7,https://static.bike-components.de/cache/p/s1/4/3/Shimano-CS-HG500-10-10-speed-Cassette-43864-0-1499436837.jpeg,Drivetrain,Cassettes
SRAM XG-1275 12-speed Cassette for GX Eagle - 2018 Model,https://www.bike-components.de/en/SRAM/XG-1275-12-speed-Cassette-for-GX-Eagle-2018-Model-p57614/,113.45 €,3,https://static.bike-components.de/cache/p/s1/5/7/SRAM-XG-1275-12-speed-Cassette-for-GX-Eagle-2018-Model-57614-0-1539761465.jpeg,Drivetrain,Cassettes
Shimano CS-HG400-9 9-speed Cassette,https://www.bike-components.de/en/Shimano/CS-HG400-9-9-speed-Cassette-p40155/,from 11.34€,17,https://static.bike-components.de/cache/p/s1/4/0/Shimano-CS-HG400-9-9-speed-Cassette-40155-0-1536308791.jpeg,Drivetrain,Cassettes
Shimano 105 CS-R7000 11-speed Cassette,https://www.bike-components.de/en/Shimano/105-CS-R7000-11-speed-Cassette-p62071/,33.61 €,3,https://static.bike-components.de/cache/p/s1/6/2/Shimano-105-CS-R7000-11-speed-Cassette-62071-0-1527257754.jpeg,Drivetrain,Cassettes
SRAM XG-1295 12-speed Cassette for X01 / XX1 Eagle - 2017 Model,https://www.bike-components.de/en/SRAM/XG-1295-12-speed-Cassette-for-X01-XX1-Eagle-2017-Model-p49388/,234.45 €,1,https://static.bike-components.de/cache/p/s1/4/9/SRAM-XG-1295-12-speed-Cassette-for-X01-XX1-Eagle-2017-Model-49388-0-1481268850.jpeg,Drivetrain,Cassettes
Shimano Ultegra CS-6700 10-speed Cassette,https://www.bike-components.de/en/Shimano/Ultegra-CS-6700-10-speed-Cassette-p22072/,from 42.01€,28,https://static.bike-components.de/cache/p/s1/2/2/Shimano-Ultegra-CS-6700-10-speed-Cassette-22072-0-1481268404.jpeg,Drivetrain,Cassettes
SRAM XG-1150 11-speed Cassette,https://www.bike-components.de/en/SRAM/XG-1150-11-speed-Cassette-p43639/,71.42 €,12,https://static.bike-components.de/cache/p/s1/4/3/SRAM-XG-1150-11-speed-Cassette-43639-0-1481268069.jpeg,Drivetrain,Cassettes
e*thirteen TRS+ 12-speed Cassette - OEM Packaging,https://www.bike-components.de/en/e-thirteen/TRS-12-speed-Cassette-OEM-Packaging-p66335/,138.66 €,,https://static.bike-components.de/cache/p/s1/6/6/e-thirteen-TRS-12-speed-Cassette-OEM-Packaging-66335-0-1535452344.jpeg,Drivetrain,Cassettes
Shimano XT CS-M770 9-speed Cassette,https://www.bike-components.de/en/Shimano/XT-CS-M770-9-speed-Cassette-p16322/,42.01 €,31,https://static.bike-components.de/cache/p/s1/1/6/Shimano-XT-CS-M770-9-speed-Cassette-16322-0-1481263082.jpeg,Drivetrain,Cassettes
Shimano CS-M700 SLX 11-speed Cassette,https://www.bike-components.de/en/Shimano/CS-M700-SLX-11-speed-Cassette-p49889/,from 40.33€,1,,Drivetrain,Cassettes
SRAM XG-1299 12-speed Cassette for X01 / XX1 Eagle - 2017 Model,https://www.bike-components.de/en/SRAM/XG-1299-12-speed-Cassette-for-X01-XX1-Eagle-2017-Model-p49389/,276.47 €,1,,Drivetrain,Cassettes
KCNC MTB 12-fach Kassette,https://www.bike-components.de/en/KCNC/MTB-12-fach-Kassette-p69312/,209.24 €,,,Drivetrain,Cassettes
