product_name_full,subsubcategories,subcategories,categories
EARLY RIDER Belter Urban B-U16 Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Belter Trail B-T16 Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Trail H-T20 Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Trail Runner XL R-T14+ Kids' Balance Bike,Kids Bikes,Bike,product
"EARLY RIDER Works Trail 16 W-T16 Kinderrad 16""",Kids Bikes,Bike,product
EARLY RIDER Trail Hardtail H-T20HT Kids' Bicycle,Kids Bikes,Bike,product
FOCUS Raven Junior Bike - 2019 Model,Kids Bikes,Bike,product
EARLY RIDER Belter Urban Flat Bar Road H-U20FBR Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Urban Runner R-U12 Kids' Balance Bike,Kids Bikes,Bike,product
EARLY RIDER Urban H-U20 Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Trail Hardtail H-T24HT Kids' Bicycle,Kids Bikes,Bike,product
EARLY RIDER Trail Works W-T24 Kids' Bicycle,Kids Bikes,Bike,product
KOKUA LIKEaBIKE jumper black Balance Bike,Kids Bikes,Bike,product
KOKUA LIKEaBIKE jumper Balance Bike,Kids Bikes,Bike,product
"EARLY RIDER Classic R-OC 12""/14"" Kids' Balance Bike",Kids Bikes,Bike,product
EARLY RIDER Trail Runner R-T14 Kids' Balance Bike,Kids Bikes,Bike,product
"EARLY RIDER Bonsai R-OB 12"" Kids' Balance Bike",Kids Bikes,Bike,product
KOKUA LIKEaBIKE mountain Balance Bike,Kids Bikes,Bike,product
KOKUA LIKEtoBIKE 16 V-Brakes Kids Bike,Kids Bikes,Bike,product
KOKUA LIKEaBIKE forest Balance Bike,Kids Bikes,Bike,product
KOKUA LIKEaBIKE spoky Balance Bike,Kids Bikes,Bike,product
KOKUA LIKEtoBIKE 20 Kinder Bike,Kids Bikes,Bike,product
KOKUA LIKEaBIKE spoky mini Kinder Laufrad,Kids Bikes,Bike,product
Scott Strike eRide 710 E-Bike - 2019 Model,E-Bikes,Bike,product
Scott Sub Tour eRide 20 E-Bike - 2019 Model,E-Bikes,Bike,product
Scott Genius eRide 720 E-Bike - 2019 Model,E-Bikes,Bike,product
FOCUS Paralane² 9.7 E-Bike - 2019 Model,E-Bikes,Bike,product
