service_name_full,subsubcategories,subcategories,categories
shippingToAustria(standard),shippingToAustria,shipping,service
shippingToAustria(bulky goods),shippingToAustria,shipping,service
shippingToAustria(bikes),shippingToAustria,shipping,service
shippingToBelgium(standard),shippingToBelgium,shipping,service
shippingToBelgium(bulky goods),shippingToBelgium,shipping,service
shippingToBelgium(bikes),shippingToBelgium,shipping,service
shippingToDenmark(standard),shippingToDenmark,shipping,service
shippingToDenmark(bulky goods),shippingToDenmark,shipping,service
shippingToDenmark(bikes),shippingToDenmark,shipping,service
shippingToFinland(standard),shippingToFinland,shipping,service
shippingToFinland(bulky goods),shippingToFinland,shipping,service
shippingToFinland(bikes),shippingToFinland,shipping,service
shippingToFrance(standard),shippingToFrance,shipping,service
shippingToFrance(bulky goods),shippingToFrance,shipping,service
shippingToFrance(bikes),shippingToFrance,shipping,service
shippingToItaly(standard),shippingToItaly,shipping,service
shippingToItaly(bulky goods),shippingToItaly,shipping,service
shippingToItaly(bikes),shippingToItaly,shipping,service
shippingToNetherlands(standard),shippingToNetherlands,shipping,service
shippingToNetherlands(bulky goods),shippingToNetherlands,shipping,service
shippingToNetherlands(bikes),shippingToNetherlands,shipping,service
shippingToSpain(standard),shippingToSpain,shipping,service
shippingToSpain(bulky goods),shippingToSpain,shipping,service
shippingToSpain(bikes),shippingToSpain,shipping,service
shippingToSwitzerland(standard),shippingToSwitzerland,shipping,service
shippingToSwitzerland(bulky goods),shippingToSwitzerland,shipping,service
shippingToSwitzerland(bikes),shippingToSwitzerland,shipping,service
shippingToGermany(standard),shippingToGermany,shipping,service
shippingToGermany(bulky goods),shippingToGermany,shipping,service
shippingToGermany(bikes),shippingToGermany,shipping,service
shippingToGermany (Cash on delivery)(bulky goods),shippingToGermany (Cash on delivery),shipping,service
shippingToGermany (Cash on delivery)(bikes),shippingToGermany (Cash on delivery),shipping,service
shippingToGermany (Cash on delivery)(standard),shippingToGermany (Cash on delivery),shipping,service
BikeStripAndReassembly,,maintenance,service
BikeFrameCleaningAndWaxing,,maintenance,service
DriveTrain(CranksetCassetteChainFront&RearDerailleursWheelset)Un-AssemblyAndRe-Assembly,,maintenance,service
CheckDerailleurHangerAndDerailleurCage,,maintenance,service
CheckCleanAndLubricateShifterCableOrHousing,,maintenance,service
CheckCleanAndLubricateBrakeCableOrHousing,,maintenance,service
CheckAndTuneGearShiftingBrakeSetOrLeversOrPads,,maintenance,service
CheckAndInflateTyresOrInnerTube,,maintenance,service
De-GreaseAndLubricateChain,,maintenance,service
De-GreaseCassetteChain-RingFrontAndRearDerailleurs,,maintenance,service
WheelTruing,,maintenance,service
RepackHeadsetBearings,,maintenance,service
RepackWheel-SetBearings,,maintenance,service
RepackBottomBracketBearings,,maintenance,service
pay by Credit card,,Payment methods,service
pay by Paypal,,Payment methods,service
pay by Amazon pay,,Payment methods,service
pay by Cash on delivery,,Payment methods,service
online package tracking,,Package tracking,service
Revocation,,Revocation,service
Returns,,Returns,service
